type,value
image_mean,0.5892411470413208
image_mean,0.6035214066505432
image_mean,0.7205259799957275
image_std,0.16615304350852966
image_std,0.1514727622270584
image_std,0.11708240956068039
gene_mean,2.303438663482666
gene_mean,2.496974468231201
gene_mean,2.989028215408325
gene_mean,1.2435609102249146
gene_mean,2.805182456970215
gene_mean,2.7983109951019287
gene_mean,2.8310933113098145
gene_mean,1.0606250762939453
gene_mean,2.8256711959838867
gene_mean,2.615048885345459
gene_mean,2.648848056793213
gene_mean,2.628519058227539
gene_mean,2.5966687202453613
gene_mean,2.290342330932617
gene_mean,2.4987571239471436
gene_mean,2.433009624481201
gene_mean,2.3955025672912598
gene_mean,2.405547857284546
gene_mean,1.9638901948928833
gene_mean,2.142472267150879
gene_mean,2.257765769958496
gene_mean,2.134920597076416
gene_mean,2.2424001693725586
gene_mean,2.1880791187286377
gene_mean,2.1651268005371094
gene_mean,2.024351119995117
gene_mean,2.120826482772827
gene_mean,2.106557607650757
gene_mean,1.738105058670044
gene_mean,2.0351603031158447
gene_mean,2.075944662094116
gene_mean,2.130366325378418
gene_mean,2.1100432872772217
gene_mean,2.0385611057281494
gene_mean,2.050304412841797
gene_mean,2.113553047180176
gene_mean,1.6367145776748657
gene_mean,2.1114935874938965
gene_mean,2.0259392261505127
gene_mean,2.104377508163452
gene_mean,2.12160062789917
gene_mean,2.053100109100342
gene_mean,2.0000884532928467
gene_mean,1.5366982221603394
gene_mean,1.38057541847229
gene_mean,1.3984591960906982
gene_mean,1.9758682250976562
gene_mean,1.8585107326507568
gene_mean,1.8557066917419434
gene_mean,1.912710189819336
gene_mean,1.915107011795044
gene_mean,1.9336867332458496
gene_mean,1.8454790115356445
gene_mean,1.9113192558288574
gene_mean,1.8727411031723022
gene_mean,1.8459906578063965
gene_mean,1.8066625595092773
gene_mean,1.7698657512664795
gene_mean,1.4458235502243042
gene_mean,1.7128345966339111
gene_mean,1.876820683479309
gene_mean,1.8142766952514648
gene_mean,1.5289313793182373
gene_mean,1.7615612745285034
gene_mean,1.7578448057174683
gene_mean,1.7445387840270996
gene_mean,1.3162461519241333
gene_mean,1.801222801208496
gene_mean,1.5596623420715332
gene_mean,1.7725574970245361
gene_mean,1.7685586214065552
gene_mean,1.6035006046295166
gene_mean,1.6804369688034058
gene_mean,1.6629226207733154
gene_mean,1.6726373434066772
gene_mean,1.5005720853805542
gene_mean,1.5661406517028809
gene_mean,1.550816535949707
